game_id,algo_first,algo_second,param_first,param_second,first_color,winner,num_moves,time_first_total_sec,time_second_total_sec,avg_time_per_move_first,avg_time_per_move_second
1,minimax,alphabeta,depth=3,depth=3,X,O,14,20.7507,1.1393,2.9644,0.1628
2,minimax,alphabeta,depth=3,depth=3,X,O,14,20.3027,1.121,2.9004,0.1601
3,minimax,alphabeta,depth=3,depth=3,X,O,14,20.4252,1.143,2.9179,0.1633
4,minimax,alphabeta,depth=3,depth=3,X,O,14,20.6852,1.1436,2.955,0.1634
5,minimax,alphabeta,depth=3,depth=3,X,O,14,20.7723,1.1914,2.9675,0.1702
6,minimax,alphabeta,depth=3,depth=3,X,O,14,20.4064,1.1321,2.9152,0.1617
7,minimax,alphabeta,depth=3,depth=3,X,O,14,20.5456,1.1333,2.9351,0.1619
8,minimax,alphabeta,depth=3,depth=3,X,O,14,20.4608,1.1326,2.923,0.1618
9,minimax,alphabeta,depth=3,depth=3,X,O,14,21.2362,1.1641,3.0337,0.1663
10,minimax,alphabeta,depth=3,depth=3,X,O,14,21.26,1.1705,3.0371,0.1672
11,minimax,alphabeta,depth=3,depth=3,X,O,14,20.7869,1.1519,2.9696,0.1646
12,minimax,alphabeta,depth=3,depth=3,X,O,14,20.905,1.1532,2.9864,0.1647
13,minimax,alphabeta,depth=3,depth=3,X,O,14,20.7818,1.1513,2.9688,0.1645
14,minimax,alphabeta,depth=3,depth=3,X,O,14,20.756,1.1595,2.9651,0.1656
15,minimax,alphabeta,depth=3,depth=3,X,O,14,20.3038,1.1232,2.9005,0.1605
16,minimax,alphabeta,depth=3,depth=3,O,O,14,24.2716,2.4539,3.4674,0.3506
17,minimax,alphabeta,depth=3,depth=3,O,O,14,24.2881,2.465,3.4697,0.3521
18,minimax,alphabeta,depth=3,depth=3,O,O,14,24.449,2.4663,3.4927,0.3523
19,minimax,alphabeta,depth=3,depth=3,O,O,14,24.5328,2.4726,3.5047,0.3532
20,minimax,alphabeta,depth=3,depth=3,O,O,14,24.6879,2.4809,3.5268,0.3544
21,minimax,alphabeta,depth=3,depth=3,O,O,14,24.9194,2.5361,3.5599,0.3623
22,minimax,alphabeta,depth=3,depth=3,O,O,14,24.4742,2.48,3.4963,0.3543
23,minimax,alphabeta,depth=3,depth=3,O,O,14,24.5046,2.4769,3.5007,0.3538
24,minimax,alphabeta,depth=3,depth=3,O,O,14,24.2722,2.4629,3.4675,0.3518
25,minimax,alphabeta,depth=3,depth=3,O,O,14,24.3015,2.464,3.4716,0.352
26,minimax,alphabeta,depth=3,depth=3,O,O,14,24.26,2.463,3.4657,0.3519
27,minimax,alphabeta,depth=3,depth=3,O,O,14,24.3598,2.4694,3.48,0.3528
28,minimax,alphabeta,depth=3,depth=3,O,O,14,24.3152,2.4637,3.4736,0.352
29,minimax,alphabeta,depth=3,depth=3,O,O,14,24.2743,2.4624,3.4678,0.3518
30,minimax,alphabeta,depth=3,depth=3,O,O,14,24.3059,2.4782,3.4723,0.354
31,minimax,mcts,depth=3,sims=1000,X,X,9,12.5868,10.8173,2.5174,2.7043
32,minimax,mcts,depth=3,sims=1000,X,X,21,111.1277,23.4915,10.1025,2.3492
33,minimax,mcts,depth=3,sims=1000,X,X,9,9.5855,10.8786,1.9171,2.7197
34,minimax,mcts,depth=3,sims=1000,X,X,13,24.9761,17.147,3.568,2.8578
35,minimax,mcts,depth=3,sims=1000,X,X,19,47.5601,24.675,4.756,2.7417
